ticker	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	Inst Trans	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	SMA200	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price	Change
VIAC	S&P 500	28.47B	2.50B	35.60B	23.63	4.99	0.96	2.09%	23990	Yes	Yes	2.80	11.36	10.95	-	0.80	1.95	9.22	35.85	1.50	1.70	1.35	1.35	19.94%	4.05	4.20	1.00	-2.90%	-1.86%	16.70%	15.00%	-8.70%	-2.40%	Nov 06 BMO	29.33%	0.20%	-0.84%	91.50%	0.07%	5.20%	18.80%	13.10%	40.80%	13.60%	7.30%	21.30%	71.02%	616.00M	552.32M	20.78%	9.82	30.58	10.10 - 46.86	-2.41%	352.77%	84.75	0.78	11.69M	6,745,887	14.66%	32.68%	68.25%	80.39%	15.90%	23.46%	1.87	1.46	4.71% 3.49%	46.00	45.73	-0.59%
CE	S&P 500	16.39B	586.00M	5.50B	21.25	5.46	2.48	1.80%	7714	Yes	Yes	2.20	27.80	14.77	6.18	2.98	6.47	25.21	24.24	0.70	1.20	1.63	1.25	1.36%	4.95	9.32	1.68	-22.60%	4.50%	11.20%	-1.50%	-11.00%	-18.90%	Jan 28 AMC	2.85%	0.10%	-2.46%	-	0.24%	6.00%	23.10%	11.10%	22.40%	9.60%	10.50%	51.20%	28.95%	118.05M	116.03M	1.38%	1.88	135.77	52.70 - 140.09	-4.20%	154.67%	52.99	0.62	849.33K	389,245	-1.33%	6.65%	16.09%	51.86%	16.39%	5.87%	1.21	3.36	2.47% 2.36%	137.57	134.21	-2.44%
CMI	S&P 500	36.46B	1.59B	19.56B	52.06	21.92	5.40	2.24%	61615	Yes	Yes	2.50	22.74	17.58	8.35	1.86	4.64	11.01	34.27	1.30	1.90	0.53	0.47	2.75%	10.61	13.73	2.78	9.50%	2.72%	9.90%	4.20%	-11.30%	-15.30%	Oct 27 BMO	3.00%	0.32%	0.00%	85.30%	-0.07%	7.80%	21.60%	21.60%	24.80%	10.20%	8.10%	49.20%	19.73%	147.90M	147.53M	1.89%	2.62	247.27	101.03 - 244.67	-3.84%	132.89%	55.83	0.68	1.06M	536,082	0.89%	11.52%	8.82%	31.35%	39.81%	6.27%	1.13	5.39	2.48% 2.28%	241.33	235.28	-2.51%
AEE	S&P 500	18.11B	850.00M	5.78B	34.35	0.02	2.06	2.78%	9323	Yes	Yes	2.10	21.63	19.56	6.18	3.13	2.15	3017.56	14.19	0.50	0.80	1.27	1.20	-2.63%	3.42	3.78	0.42	1.10%	3.50%	6.90%	-0.50%	-1.90%	0.10%	Nov 05 AMC	-5.28%	0.60%	-0.68%	76.70%	-0.01%	2.90%	10.30%	6.10%	86.60%	21.90%	14.70%	43.10%	-3.46%	247.10M	246.05M	2.90%	4.90	87.52	58.74 - 87.65	-15.24%	26.49%	40.46	0.59	1.46M	640,095	-0.34%	-4.21%	-9.05%	-3.65%	-5.38%	-5.21%	0.23	1.59	2.15% 2.04%	73.99	74.30	0.42%
SWKS	S&P 500	26.11B	815.00M	3.36B	24.98	5.90	2.00	1.27%	10000	Yes	Yes	2.20	32.97	18.30	2.65	7.78	6.32	26.78	51.39	3.40	5.20	0.00	0.00	-0.99%	4.79	8.64	2.08	-2.90%	12.45%	3.20%	0.60%	15.60%	15.50%	Nov 02 AMC	3.51%	0.20%	-28.17%	79.70%	0.13%	16.10%	19.50%	19.60%	48.10%	26.60%	24.30%	37.70%	14.22%	166.70M	165.50M	2.08%	1.81	161.42	67.90 - 165.99	-8.22%	124.37%	48.96	1.04	1.90M	1,479,771	-2.89%	13.44%	3.05%	20.02%	31.19%	3.34%	1.19	4.69	2.66% 2.83%	157.98	152.35	-3.56%
LOW	S&P 500	123.83B	5.35B	85.31B	5.42	13.35	2.40	1.41%	200000	Yes	Yes	1.90	24.06	18.28	1.01	1.45	31.44	12.77	14.98	0.60	1.40	5.35	5.20	4.83%	7.08	9.32	1.18	92.90%	23.92%	15.20%	5.10%	28.30%	-32.70%	Nov 18 BMO	7.53%	0.06%	-12.60%	79.60%	0.06%	11.40%	176.50%	23.40%	32.90%	9.40%	6.30%	31.00%	18.70%	752.00M	732.18M	2.24%	3.24	189.63	60.00 - 180.67	-4.95%	186.22%	73.59	0.58	5.05M	2,172,405	4.08%	6.43%	-1.85%	19.36%	42.56%	6.16%	1.36	3.42	1.99% 1.94%	170.39	171.73	0.79%
SNA	S&P 500	9.38B	588.70M	3.81B	66.65	14.28	4.92	2.89%	12800	Yes	Yes	2.70	15.91	14.79	1.59	2.46	2.55	11.91	15.86	1.90	2.60	0.40	0.33	-1.27%	10.69	11.50	2.94	4.00%	10.00%	11.70%	3.10%	4.20%	11.00%	Oct 22 BMO	-2.28%	1.30%	-14.65%	97.20%	-0.18%	10.00%	17.00%	16.40%	53.30%	21.70%	15.40%	40.00%	14.05%	54.30M	53.42M	9.17%	10.58	167.13	90.72 - 183.23	-8.07%	85.68%	44.41	0.66	462.92K	228,758	-3.28%	-2.90%	8.46%	19.10%	1.75%	-0.61%	1.30	4.00	2.43% 2.26%	170.10	168.45	-0.97%
TXN	S&P 500	154.65B	4.95B	13.74B	9.08	6.13	4.08	2.38%	29768	Yes	Yes	2.50	32.45	29.35	3.25	11.26	18.91	28.03	84.14	3.30	4.20	0.82	0.75	2.67%	5.29	5.85	1.33	-5.60%	10.00%	15.30%	2.00%	1.20%	-2.80%	Jan 26 AMC	5.13%	0.10%	-32.79%	86.70%	0.35%	27.90%	60.70%	34.10%	63.50%	38.80%	36.10%	67.10%	23.21%	917.00M	915.86M	1.46%	3.29	160.37	93.09 - 173.66	-2.40%	82.07%	61.72	0.53	4.08M	1,624,032	2.24%	7.24%	12.40%	29.91%	32.93%	4.62%	1.07	3.00	1.61% 1.68%	171.71	169.49	-1.30%
A	S&P 500	38.40B	719.00M	5.34B	15.77	4.73	0.78	0.62%	16400	Yes	Yes	2.20	54.75	30.27	5.89	7.19	7.99	26.65	66.20	1.80	2.30	0.48	0.47	4.59%	2.30	4.16	0.89	-31.60%	9.30%	12.00%	5.70%	8.50%	14.40%	Nov 23 AMC	8.96%	0.40%	-16.01%	90.10%	0.06%	7.50%	14.80%	10.00%	53.10%	15.80%	13.50%	30.30%	29.41%	309.00M	304.40M	1.06%	1.91	123.25	61.13 - 129.34	-2.20%	106.92%	70.93	0.72	1.68M	897,509	-0.10%	7.96%	19.96%	35.72%	42.21%	6.36%	1.02	2.47	1.71% 1.85%	126.03	126.49	0.36%
WU	S&P 500	8.75B	702.60M	4.87B	0.16	3.10	0.90	4.16%	11500	Yes	Yes	3.00	12.86	10.73	1.48	1.80	135.37	6.99	19.90	-	-	45.25	43.98	-2.37%	1.68	2.02	0.42	27.60%	8.71%	9.10%	-1.20%	-3.70%	74.30%	Oct 29 AMC	-0.84%	0.10%	-4.69%	-	-0.01%	8.10%	-	37.50%	42.10%	19.80%	14.40%	51.50%	0.53%	411.60M	409.13M	8.49%	7.98	23.59	17.39 - 28.44	-23.61%	24.96%	44.84	0.57	4.35M	1,860,390	-5.25%	-1.86%	-0.91%	-1.32%	-19.99%	-1.28%	1.00	0.57	2.90% 2.37%	21.66	21.73	0.32%
EQR	S&P 500	22.34B	947.50M	2.64B	28.18	0.48	2.41	3.99%	2700	Yes	Yes	3.00	23.75	62.78	3.89	8.46	2.14	125.30	44.28	-	-	0.80	0.80	4.96%	2.54	0.96	0.24	46.70%	6.10%	7.00%	0.70%	-9.20%	-65.90%	Oct 27 AMC	4.11%	1.51%	-0.13%	93.30%	0.10%	4.50%	9.10%	7.00%	65.20%	51.90%	35.90%	91.80%	5.93%	371.87M	366.62M	2.53%	3.07	59.22	45.42 - 87.53	-29.90%	35.08%	60.92	0.73	3.02M	1,643,529	4.30%	4.30%	14.35%	5.54%	-26.42%	1.87%	0.83	1.47	2.12% 2.60%	60.39	61.36	1.61%
OTIS	S&P 500	28.53B	873.00M	12.62B	-9.79	4.35	0.80	1.23%	69000	Yes	Yes	2.30	32.28	24.83	3.74	2.26	-	14.92	-	1.00	1.10	-	-	-1.22%	2.01	2.62	0.59	64.90%	8.63%	-	-	-9.60%	-27.40%	Oct 26 BMO	-0.79%	0.01%	0.70%	85.70%	-0.12%	-	-	72.20%	29.60%	-	-	-	9.33%	433.10M	433.07M	1.42%	3.28	70.13	38.00 - 68.21	-4.54%	71.34%	47.36	0.64	1.88M	893,016	-4.19%	3.44%	-1.02%	11.35%	-	-3.86%	-	1.53	2.49% 2.24%	64.94	65.11	0.26%
AAP	S&P 500	11.29B	476.90M	9.85B	54.56	15.97	1.00	0.59%	39000	Yes	Yes	2.30	24.56	17.74	2.15	1.15	3.09	10.57	18.28	0.40	1.40	0.00	0.27	2.00%	6.87	9.52	1.96	21.10%	11.45%	0.40%	-0.30%	9.90%	21.70%	Nov 10 BMO	5.96%	0.10%	0.00%	-	0.01%	4.00%	13.10%	12.30%	43.90%	6.90%	4.80%	12.60%	14.53%	68.97M	67.60M	4.38%	3.12	175.13	71.33 - 177.92	-6.58%	133.02%	56.13	0.62	947.48K	438,528	0.69%	7.15%	7.82%	16.15%	12.40%	7.19%	1.32	4.39	3.16% 2.47%	168.83	166.21	-1.55%
CAG	S&P 500	16.49B	1.11B	11.52B	17.16	0.14	1.10	3.23%	16500	Yes	Yes	2.40	14.98	13.06	2.13	1.43	1.98	242.54	15.35	0.40	0.80	1.10	0.99	-3.98%	2.27	2.61	0.58	12.60%	7.05%	10.80%	4.10%	6.20%	44.70%	Jan 07 BMO	-4.60%	0.30%	-9.65%	84.80%	0.04%	5.00%	13.80%	7.20%	29.10%	15.80%	9.70%	37.30%	-4.08%	489.10M	486.45M	1.83%	2.83	38.31	22.83 - 39.34	-13.76%	48.60%	39.62	1.16	3.14M	2,713,400	0.80%	-4.43%	-9.66%	-6.97%	6.64%	-6.09%	0.86	0.74	2.67% 1.96%	34.05	33.92	-0.37%
PHM	S&P 500	11.64B	1.29B	10.86B	23.25	7.54	0.56	1.32%	5245	Yes	Yes	2.40	8.85	7.39	0.54	1.07	1.82	5.63	9.12	-	-	0.49	0.45	-0.66%	4.79	5.74	1.38	3.00%	16.50%	23.70%	11.90%	9.00%	55.40%	Jan 28 BMO	-0.50%	0.10%	-23.76%	90.40%	-0.16%	10.50%	20.10%	11.90%	24.60%	13.50%	10.70%	11.10%	9.65%	268.36M	259.09M	2.82%	2.37	55.14	17.12 - 49.70	-13.48%	151.17%	50.37	0.58	3.09M	1,342,663	-0.16%	0.71%	-12.14%	15.43%	2.69%	-1.62%	1.41	1.40	3.36% 3.20%	42.42	43.00	1.37%
TAP	S&P 500	11.55B	584.50M	9.85B	62.30	3.39	-	-	17700	Yes	Yes	2.70	19.87	12.70	-	1.17	0.86	15.79	9.16	0.50	0.60	0.62	0.53	10.68%	2.69	4.21	0.76	-78.40%	-2.10%	-16.60%	20.60%	-3.10%	184.90%	Oct 29 BMO	14.89%	0.10%	0.35%	87.50%	0.38%	2.00%	4.40%	2.40%	39.00%	12.00%	5.90%	42.30%	32.51%	216.90M	176.37M	5.94%	4.22	47.19	32.11 - 61.94	-15.39%	63.20%	73.43	0.53	2.48M	982,092	8.85%	16.51%	51.13%	48.32%	-4.33%	18.39%	1.18	1.40	3.16% 2.58%	53.50	52.40	-2.05%
NOV	S&P 500	6.09B	-2786.00M	7.04B	14.19	-	-	-	35479	Yes	Yes	2.70	-	-	-	0.86	1.10	-	6.51	1.90	2.90	0.38	0.38	3.51%	-7.27	-0.26	-0.12	-128.60%	18.90%	-36.90%	-16.90%	-34.90%	34.50%	Feb 04 AMC	12.48%	0.45%	0.00%	-	0.35%	-23.20%	-42.70%	-58.80%	12.40%	-35.10%	-36.60%	-	24.12%	385.00M	358.65M	3.43%	2.03	14.19	7.70 - 24.75	-40.26%	92.01%	55.55	0.51	6.07M	2,321,345	2.98%	13.57%	76.93%	35.16%	-33.23%	13.40%	2.29	0.65	4.76% 4.06%	15.57	14.78	-5.04%
GOOG	S&P 500	1194.57B	-	171.70B	314.17	-	-	-	132121	Yes	Yes	1.60	33.63	28.39	2.00	6.96	5.54	-	-	-	-	-	-	-0.03%	51.75	61.29	15.68	5.30%	16.81%	-	-	14.00%	59.10%	Oct 29 AMC	-0.73%	5.86%	-0.01%	68.10%	-	-	-	-	-	-	-	-	14.20%	686.47M	609.52M	0.38%	1.40	1862.08	1013.54 - 1847.20	-5.26%	72.66%	49.24	0.60	1.66M	744,238	-2.63%	-1.13%	10.98%	14.64%	20.91%	-0.67%	-	37.37	2.20% 2.01%	1740.18	1749.95	0.56%
WRB	S&P 500	11.70B	337.80M	7.76B	32.27	14.50	0.48	0.73%	7493	Yes	Yes	3.00	37.06	19.74	3.87	1.51	2.05	4.55	10.13	-	-	0.51	0.51	0.03%	1.78	3.34	0.78	9.60%	9.57%	1.70%	2.10%	3.80%	-5.30%	Jan 26 AMC	-0.22%	5.50%	0.00%	73.50%	-0.04%	1.20%	5.80%	9.30%	-	7.40%	4.40%	25.50%	8.55%	185.77M	135.60M	0.77%	1.03	64.11	43.05 - 79.92	-17.34%	53.45%	50.44	0.36	1.02M	275,638	0.00%	2.96%	6.97%	4.20%	-4.26%	-0.62%	0.81	1.39	2.07% 1.97%	66.01	66.06	0.08%
TDG	S&P 500	32.56B	467.00M	5.10B	-69.32	87.81	-	-	14200	Yes	Yes	2.10	74.51	36.87	17.63	6.38	-	6.90	-	3.50	4.30	-	-	-3.22%	8.13	16.44	2.07	-37.00%	4.23%	0.80%	13.50%	-14.70%	-52.70%	Nov 12 BMO	-0.54%	0.40%	-40.57%	99.10%	0.12%	2.90%	-12.30%	10.20%	52.80%	33.80%	10.10%	0.00%	24.13%	57.30M	52.58M	3.97%	6.55	636.33	200.06 - 673.51	-12.84%	193.42%	43.82	0.45	318.52K	106,587	0.15%	1.72%	25.29%	40.47%	-2.19%	-2.07%	1.62	14.53	1.70% 2.38%	606.07	587.01	-3.14%
MHK	S&P 500	10.87B	532.00M	9.33B	114.62	16.63	-	-	41800	Yes	Yes	2.60	20.41	15.09	31.16	1.16	1.33	9.14	7.78	1.40	2.20	0.32	0.28	5.49%	7.45	10.07	2.85	-13.10%	0.66%	7.30%	5.00%	2.20%	33.80%	Oct 29 AMC	11.89%	0.60%	-16.05%	77.10%	-0.11%	4.00%	6.60%	7.10%	26.10%	5.50%	5.70%	0.00%	46.63%	71.20M	57.84M	2.23%	1.99	134.33	56.62 - 153.35	-2.88%	163.04%	63.71	0.35	648.17K	169,007	5.31%	15.54%	46.68%	95.01%	10.52%	7.82%	1.52	4.07	3.01% 2.78%	151.97	148.93	-2.00%
EA	S&P 500	39.99B	1.31B	5.59B	27.94	20.96	0.68	0.49%	9800	Yes	Yes	2.20	30.94	23.29	2.24	7.15	4.97	6.63	20.93	2.70	2.70	0.12	0.05	-0.54%	4.49	5.97	2.95	209.40%	13.79%	30.80%	4.20%	-14.60%	-78.10%	Feb 02 AMC	6.37%	0.20%	-59.21%	93.60%	0.09%	11.70%	17.20%	35.20%	75.80%	24.70%	23.50%	0.00%	8.88%	289.00M	288.94M	2.40%	2.35	147.38	85.69 - 147.36	-5.15%	63.11%	54.04	0.50	2.95M	1,095,122	-1.28%	1.02%	4.66%	0.64%	26.76%	-3.25%	0.91	3.33	2.42% 2.37%	138.94	139.77	0.60%
FTV	S&P 500	23.77B	508.20M	7.19B	22.74	4.42	0.28	0.40%	25000	Yes	Yes	2.40	47.27	29.10	-	3.31	3.10	15.96	16.81	1.00	1.20	0.74	0.61	0.21%	1.49	2.42	0.62	-22.20%	-8.12%	-5.50%	2.90%	2.30%	9.40%	Oct 27 AMC	0.33%	2.10%	-66.54%	90.20%	1.71%	3.10%	7.00%	6.50%	51.60%	12.70%	7.30%	18.10%	15.59%	337.60M	322.43M	2.06%	3.40	75.56	31.20 - 74.25	-5.57%	124.76%	50.36	0.48	1.96M	706,541	-2.78%	3.33%	5.27%	17.63%	8.14%	-0.41%	1.14	1.59	1.99% 2.22%	70.53	70.12	-0.58%
HPE	S&P 500	16.27B	-322.00M	26.98B	12.40	3.25	0.48	3.85%	59400	Yes	Yes	2.70	-	6.97	-	0.60	1.01	3.84	-	0.70	0.90	0.99	0.76	5.57%	-0.25	1.79	0.41	-122.10%	3.12%	-16.80%	-2.80%	-0.10%	-73.40%	Dec 01 AMC	11.47%	0.20%	-2.39%	84.50%	0.42%	-0.60%	-2.00%	-1.00%	31.40%	-1.60%	-1.20%	-	25.15%	1.29B	1.29B	1.85%	2.23	12.79	7.43 - 15.80	-20.41%	69.25%	68.75	0.89	10.72M	7,096,596	4.26%	5.14%	27.87%	28.40%	-19.43%	5.32%	1.39	0.33	2.65% 2.44%	12.48	12.57	0.76%
VRSN	S&P 500	22.06B	805.90M	1.26B	-12.09	10.20	-	-	872	Yes	Yes	2.20	28.23	33.49	3.53	17.57	-	19.18	32.31	1.20	1.20	-	-	-7.04%	6.93	5.84	1.29	54.20%	8.00%	23.50%	4.00%	3.10%	14.70%	Oct 22 AMC	-4.91%	1.10%	-10.17%	92.90%	0.06%	44.80%	-56.70%	305.70%	85.60%	65.70%	64.20%	0.00%	-5.49%	114.66M	112.62M	1.14%	2.04	240.57	148.77 - 221.30	-12.01%	30.89%	32.36	0.59	627.84K	276,028	-2.15%	-7.74%	-7.75%	-1.36%	-7.58%	-9.57%	0.76	4.29	1.82% 1.83%	195.70	194.72	-0.50%
LNC	S&P 500	10.44B	771.00M	17.65B	111.51	13.12	1.68	3.18%	11357	Yes	Yes	2.40	13.53	5.55	0.78	0.59	0.47	4.02	51.41	-	-	0.31	0.31	3.04%	3.90	9.51	1.99	-41.80%	17.25%	-5.30%	4.90%	15.50%	352.10%	Feb 03 AMC	8.43%	0.30%	-20.28%	80.00%	0.05%	0.20%	4.00%	4.90%	-	6.60%	4.50%	39.00%	34.88%	193.25M	181.98M	4.20%	3.89	53.08	16.11 - 61.96	-16.35%	221.72%	56.87	0.36	1.97M	528,797	0.23%	5.39%	55.70%	40.67%	-9.43%	4.85%	2.20	1.76	3.02% 3.09%	52.75	51.83	-1.74%
LUV	S&P 500	29.03B	-1684.00M	12.77B	16.56	24.49	-	-	57931	Yes	Yes	2.20	-	274.27	-	2.27	2.95	1.99	-	2.00	2.10	1.11	1.04	0.93%	-2.85	0.18	-1.64	-2.00%	-	20.80%	3.80%	-68.20%	-258.90%	Oct 22 BMO	2.68%	0.25%	-1.01%	76.10%	0.25%	-5.30%	-16.70%	18.20%	69.80%	-15.50%	-12.90%	-	25.84%	590.00M	588.79M	2.82%	1.94	51.85	22.47 - 58.83	-20.07%	109.30%	52.22	0.68	8.55M	4,297,791	3.15%	7.87%	24.38%	42.71%	-11.28%	4.74%	1.19	1.34	2.69% 2.72%	48.82	47.02	-3.69%
IQV	S&P 500	35.50B	176.00M	10.96B	30.56	8.18	-	-	67000	Yes	Yes	1.80	209.48	23.97	15.88	3.24	6.16	23.00	29.22	1.10	1.10	2.13	2.11	3.69%	0.90	7.85	2.00	-11.10%	13.20%	-18.80%	15.20%	0.60%	81.00%	Oct 20 BMO	7.80%	0.40%	-80.65%	92.10%	-0.03%	0.80%	3.10%	3.60%	34.00%	5.40%	1.60%	0.00%	21.16%	191.30M	189.70M	1.03%	1.91	200.72	81.79 - 192.34	-2.27%	129.83%	65.64	0.51	1.02M	385,591	0.03%	12.44%	13.39%	25.67%	18.03%	4.99%	1.38	4.10	1.91% 2.28%	188.11	187.98	-0.07%
HST	S&P 500	10.56B	-588.00M	2.69B	9.08	3.65	-	-	175	Yes	Yes	2.80	-	-	-	3.93	1.65	4.11	-	-	-	0.88	0.88	1.63%	-0.84	-0.74	-0.42	-14.30%	28.40%	5.50%	0.60%	-84.30%	-187.50%	Nov 04 AMC	3.82%	1.18%	-0.25%	98.30%	0.35%	-4.60%	-8.60%	6.40%	-	-22.20%	-21.90%	-	22.27%	705.20M	697.03M	5.60%	4.25	14.53	7.86 - 18.02	-18.92%	86.01%	52.93	0.32	9.19M	2,211,898	2.25%	6.99%	37.08%	33.42%	-14.91%	2.60%	1.38	0.48	2.64% 3.08%	15.01	14.61	-2.66%
TMO	S&P 500	192.34B	4.88B	28.50B	80.36	-	0.88	0.18%	75000	Yes	Yes	1.90	40.71	24.05	2.43	6.75	6.18	-	35.88	2.30	2.90	0.66	0.66	5.50%	12.21	20.66	6.44	22.10%	16.74%	14.30%	8.60%	35.90%	148.40%	Feb 01 BMO	5.93%	0.10%	-43.59%	91.40%	0.04%	8.00%	16.30%	8.50%	47.30%	20.90%	17.10%	6.70%	22.74%	396.00M	395.74M	0.59%	1.35	511.05	250.21 - 532.57	-5.48%	101.18%	63.06	0.74	1.74M	949,962	-0.68%	6.38%	6.40%	26.63%	48.24%	6.68%	0.84	11.53	2.48% 2.25%	496.91	503.38	1.30%
CBRE	S&P 500	20.51B	1.08B	24.04B	19.54	4.50	-	-	100000	Yes	Yes	2.10	19.65	19.27	1.79	0.85	3.19	13.84	12.93	1.30	1.30	0.47	0.28	1.59%	3.17	3.23	0.94	20.00%	11.00%	21.00%	21.40%	-4.70%	-27.50%	Oct 29 BMO	3.65%	0.50%	-1.04%	97.90%	-0.08%	6.70%	17.10%	13.10%	20.20%	4.30%	4.50%	0.00%	29.21%	335.29M	333.11M	2.04%	3.65	61.50	29.17 - 67.70	-6.41%	117.22%	56.11	0.54	1.86M	747,626	1.24%	-4.41%	27.01%	39.63%	3.10%	-0.73%	1.51	1.59	2.34% 2.45%	62.26	63.36	1.77%
F	S&P 500	40.00B	-68.00M	130.91B	8.33	11.40	-	-	190000	Yes	Yes	2.90	-	9.95	-	0.31	1.22	0.89	2.68	1.10	1.20	4.75	3.21	9.52%	-0.03	1.02	-0.09	-96.00%	8.23%	-35.20%	1.60%	1.40%	461.50%	Feb 04 AMC	11.51%	0.19%	0.00%	52.10%	0.08%	-0.10%	-0.50%	0.70%	5.50%	-1.90%	-0.10%	-	41.55%	3.98B	3.83B	2.60%	1.47	9.18	3.96 - 10.20	-2.77%	150.43%	66.37	1.36	67.55M	68,590,824	12.25%	14.14%	34.35%	48.25%	10.66%	15.70%	1.24	0.27	4.26% 2.77%	10.17	9.92	-2.49%
RF	S&P 500	18.00B	769.00M	4.31B	16.93	13.96	0.62	3.32%	19564	Yes	Yes	2.40	23.40	12.22	-	4.18	1.10	1.34	8.66	-	-	0.30	0.30	10.50%	0.80	1.53	0.42	13.00%	-	14.00%	5.30%	-7.90%	34.10%	Jan 22 BMO	15.86%	0.10%	-11.10%	75.10%	0.23%	0.60%	4.90%	14.70%	-	54.60%	17.80%	77.50%	48.08%	960.00M	956.37M	2.21%	2.36	17.70	6.94 - 18.71	-2.35%	163.26%	70.35	0.82	8.97M	5,444,405	5.61%	23.10%	52.24%	72.69%	14.35%	15.69%	1.56	0.50	3.15% 2.78%	18.65	18.27	-2.04%
EMR	S&P 500	49.99B	1.97B	16.79B	14.07	5.53	2.02	2.42%	83500	Yes	Yes	2.40	25.68	21.09	8.64	2.98	5.92	15.08	37.42	1.20	1.50	0.89	0.75	2.26%	3.25	3.95	0.68	-12.80%	2.97%	-2.70%	0.70%	-8.30%	3.60%	Feb 02 BMO	5.34%	0.50%	47.90%	76.40%	-0.01%	9.00%	24.40%	13.50%	41.80%	14.90%	11.70%	61.30%	24.54%	597.20M	593.98M	1.48%	3.11	82.55	37.75 - 84.44	-2.01%	119.20%	58.25	0.71	2.82M	1,483,245	1.55%	3.64%	20.12%	31.99%	8.71%	3.70%	1.57	2.04	2.39% 2.29%	83.34	82.75	-0.71%
DOW	DJIA S&P500	44.47B	-2334.00M	38.04B	16.68	-	2.80	4.69%	36500	Yes	Yes	2.80	-	20.81	-	1.17	3.58	-	6.80	1.20	1.70	1.41	1.35	2.15%	-3.13	2.87	0.62	-164.70%	-6.52%	-	-	-9.80%	-107.50%	Jan 28 BMO	5.57%	0.10%	-0.91%	68.10%	0.01%	-3.90%	-18.20%	-4.40%	13.50%	-3.30%	-6.10%	-	27.76%	741.75M	740.77M	1.31%	2.42	54.17	21.95 - 61.31	-6.13%	162.19%	54.59	1.35	4.00M	4,018,357	1.95%	12.42%	22.16%	36.09%	14.12%	7.48%	-	1.57	2.64% 2.55%	59.65	57.55	-3.52%
LLY	S&P 500	177.96B	5.57B	23.21B	5.32	3.81	3.40	1.82%	33625	Yes	Yes	2.20	30.57	22.79	2.24	7.67	35.09	49.02	63.92	1.10	1.40	3.51	3.38	11.91%	6.11	8.19	2.35	54.10%	13.66%	17.40%	2.60%	4.80%	-2.90%	Jan 29 BMO	22.22%	11.70%	-0.39%	79.20%	1.54%	13.40%	152.60%	24.60%	78.30%	23.80%	24.00%	46.70%	24.61%	907.20M	743.84M	0.93%	1.63	176.24	117.06 - 189.30	1.03%	63.39%	73.81	1.15	4.23M	3,608,440	12.58%	18.23%	25.75%	13.15%	32.30%	10.57%	0.34	5.70	3.23% 2.57%	186.69	191.26	2.45%
NUE	S&P 500	17.17B	427.50M	20.01B	33.96	10.83	1.62	2.86%	26800	Yes	Yes	2.80	40.23	15.74	-	0.86	1.67	5.23	53.71	2.40	3.80	0.54	0.53	1.37%	1.41	3.60	1.18	-44.40%	-5.66%	14.40%	1.40%	-9.80%	-29.30%	Jan 28 BMO	2.63%	0.20%	-8.22%	78.60%	-0.23%	1.80%	3.30%	10.10%	9.70%	4.70%	1.70%	143.60%	20.49%	303.39M	299.86M	1.12%	1.79	53.44	27.52 - 58.52	-5.38%	101.16%	51.89	0.62	1.87M	865,817	0.87%	1.83%	14.78%	35.73%	6.08%	6.56%	1.37	1.73	3.39% 2.90%	56.68	55.37	-2.31%
BMY	S&P 500	148.88B	-44.00M	39.40B	22.22	9.38	1.96	2.97%	30000	Yes	Yes	1.90	-	8.86	-	3.78	2.97	7.04	18.66	1.60	1.70	0.90	0.82	6.52%	-0.11	7.45	1.40	-33.90%	21.35%	10.90%	10.50%	75.50%	-1.30%	Feb 04 BMO	6.52%	0.10%	-10.99%	75.80%	0.11%	0.00%	-0.10%	5.50%	71.50%	8.70%	-0.10%	-	9.86%	2.26B	2.23B	0.69%	1.46	74.76	45.76 - 68.34	-2.53%	45.56%	71.22	0.80	10.57M	6,301,381	5.87%	10.09%	8.23%	11.29%	-0.84%	6.43%	0.62	1.33	2.29% 1.85%	66.02	66.61	0.89%
NWL	S&P 500	10.16B	-341.20M	9.67B	8.78	2.06	0.92	3.77%	30000	Yes	Yes	2.70	-	14.54	-	1.05	2.78	11.84	12.75	1.00	1.50	1.58	1.56	11.02%	-0.81	1.68	0.47	103.10%	5.24%	-20.00%	11.10%	5.10%	147.20%	Oct 30 BMO	15.68%	0.30%	0.00%	89.30%	-0.10%	-0.70%	-2.60%	4.90%	32.70%	-10.50%	-1.10%	-	43.36%	424.30M	420.86M	2.08%	3.05	20.91	10.44 - 24.57	-1.16%	132.62%	80.29	0.78	2.87M	1,672,098	7.77%	20.08%	33.55%	47.43%	23.11%	14.93%	1.03	0.59	2.84% 2.49%	24.40	24.29	-0.47%
